epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,40146.9,1.66438,1.02116,1.14031,0.51847,0.49395,0.45885,0.21657,1.58829,1.40226,1.10827,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,41389.7,1.66115,1.01642,1.13862,0.52313,0.49178,0.45895,0.21663,1.59007,1.39944,1.10895,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,42631.3,1.65515,1.01062,1.13771,0.52292,0.49269,0.45905,0.21675,1.59091,1.39596,1.10939,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,43871.7,1.64824,1.00007,1.13225,0.5235,0.49392,0.45938,0.2169,1.59198,1.39139,1.10984,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,45120.3,1.64255,0.99419,1.1303,0.52427,0.4943,0.4593,0.21727,1.59453,1.38833,1.11037,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,46354.9,1.64281,0.99169,1.13107,0.52422,0.49563,0.45921,0.21726,1.59551,1.38626,1.11073,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,47590.4,1.63377,0.98294,1.12769,0.524,0.49545,0.45881,0.2172,1.59664,1.38444,1.11083,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,48826,1.62873,0.97578,1.12487,0.5226,0.49608,0.4586,0.21706,1.59735,1.38335,1.11111,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,50065.6,1.6267,0.97086,1.12441,0.52577,0.49478,0.45846,0.21701,1.59665,1.3819,1.11116,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,51276.2,1.57352,0.96695,1.11088,0.52455,0.4953,0.45832,0.21693,1.59808,1.37938,1.11153,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,52504.9,1.56174,0.94997,1.1074,0.52582,0.49473,0.45813,0.2169,1.59862,1.37674,1.11195,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,53739.8,1.55657,0.94075,1.10449,0.52597,0.49561,0.45779,0.21645,1.60036,1.37513,1.11282,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,54978.1,1.54751,0.92751,1.10075,0.52417,0.49686,0.45718,0.21615,1.60154,1.37363,1.11347,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,56200.9,1.5409,0.91631,1.09672,0.52494,0.49619,0.45684,0.21588,1.6025,1.36997,1.11445,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,57422.8,1.53589,0.91124,1.09576,0.52717,0.49479,0.45662,0.21575,1.60405,1.36744,1.11545,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
