epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1114.36,1.99944,1.57795,1.31054,0.34221,0.35502,0.27419,0.11612,1.72708,1.92985,1.15036,0.00999857,0.00333286,0.00999857,0.00333286,0.00999857,0.00333286,0.00999857,0.00333286
2,2065.02,1.93909,1.39901,1.27005,0.36875,0.36712,0.30083,0.1292,1.7138,1.89653,1.14359,0.0196026,0.0065342,0.0196026,0.0065342,0.0196026,0.0065342,0.0196026,0.0065342
3,2978.28,1.94639,1.39264,1.27512,0.35289,0.38266,0.30047,0.1293,1.70898,1.76544,1.14917,0.0288106,0.00960354,0.0288106,0.00960354,0.0288106,0.00960354,0.0288106,0.00960354
4,3877.33,1.93047,1.36681,1.27562,0.3848,0.40098,0.3327,0.14606,1.69184,1.72742,1.14771,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4778.68,1.90107,1.32197,1.25837,0.40039,0.40745,0.34259,0.15171,1.67408,1.67129,1.13273,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,5700.68,1.88632,1.29873,1.24755,0.41633,0.40816,0.3509,0.15537,1.66443,1.70171,1.13321,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,6614.05,1.86873,1.27747,1.23843,0.42345,0.4143,0.35776,0.15834,1.66155,1.6781,1.12919,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,7535.73,1.85761,1.26554,1.23263,0.42699,0.4167,0.36176,0.1612,1.66015,1.63663,1.12679,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,8458.46,1.84917,1.25207,1.2266,0.42619,0.42115,0.36707,0.16486,1.65466,1.60975,1.1215,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,9375.46,1.84484,1.24795,1.22368,0.44146,0.42098,0.37176,0.1666,1.65239,1.60473,1.12357,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,10289.1,1.83752,1.23908,1.21843,0.44154,0.42431,0.37529,0.16767,1.65198,1.60525,1.12253,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,11180.8,1.83448,1.2307,1.21237,0.43851,0.42674,0.37599,0.16854,1.6486,1.59623,1.1203,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,12072.9,1.83044,1.22363,1.21148,0.43543,0.43051,0.37657,0.16904,1.64729,1.58304,1.11995,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
