epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
14,12964.2,1.82654,1.21923,1.20923,0.43931,0.42682,0.37638,0.16938,1.64618,1.58139,1.11932,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,13878,1.82224,1.21377,1.20536,0.44211,0.4278,0.37801,0.17011,1.64314,1.57168,1.11875,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,14793.8,1.81699,1.2071,1.2023,0.44303,0.42818,0.37887,0.17065,1.64236,1.56809,1.11812,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,15685,1.81369,1.20386,1.20121,0.44097,0.4303,0.379,0.17059,1.64231,1.56606,1.11764,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,16593.5,1.81046,1.19793,1.19883,0.4439,0.42834,0.37952,0.17087,1.64186,1.56059,1.1174,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,17519.9,1.81087,1.19809,1.19509,0.444,0.43012,0.37999,0.17164,1.64129,1.55933,1.11701,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,18443,1.80567,1.19145,1.19705,0.44576,0.43002,0.38096,0.17192,1.64119,1.55839,1.11673,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,19348.5,1.8024,1.19019,1.1932,0.44733,0.42945,0.3814,0.17201,1.64111,1.55668,1.11637,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,20246.3,1.7985,1.18503,1.18895,0.44809,0.43043,0.38236,0.17229,1.64051,1.55318,1.11586,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,21144.3,1.79374,1.17915,1.18821,0.44852,0.43023,0.38224,0.1723,1.64021,1.55117,1.11527,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,22050.2,1.79122,1.17635,1.1859,0.44939,0.42971,0.38245,0.17255,1.64044,1.55123,1.11466,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,22940.9,1.79195,1.17484,1.18552,0.45118,0.42885,0.38275,0.17289,1.64041,1.54935,1.11404,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,23844.3,1.79061,1.16859,1.18249,0.45262,0.42904,0.38339,0.17325,1.64028,1.54901,1.11342,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,24735.1,1.78566,1.16647,1.18292,0.45276,0.4296,0.38376,0.17328,1.64011,1.54837,1.11312,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,25631.1,1.78241,1.16241,1.17908,0.45371,0.42993,0.38451,0.17362,1.6398,1.54679,1.11201,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,26533,1.77923,1.16018,1.17718,0.45477,0.42918,0.38465,0.17369,1.63973,1.54457,1.11157,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,27443.3,1.77806,1.15425,1.17499,0.45474,0.43028,0.38504,0.17409,1.63963,1.54271,1.1112,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,28352.6,1.7757,1.15064,1.174,0.4547,0.4307,0.3854,0.17419,1.63977,1.54216,1.11064,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,29252.5,1.77354,1.14984,1.17329,0.45466,0.43129,0.38565,0.1744,1.64007,1.54129,1.11073,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,30168,1.77126,1.14786,1.17269,0.45418,0.43134,0.38578,0.17452,1.63998,1.53967,1.11034,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,31097,1.7674,1.14367,1.17216,0.45408,0.4316,0.38567,0.17455,1.64053,1.53739,1.11053,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,32000,1.76298,1.13594,1.16744,0.45664,0.43088,0.38575,0.17461,1.64076,1.53572,1.11056,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,32887.9,1.75932,1.13368,1.16554,0.45736,0.43048,0.38582,0.17469,1.64088,1.53343,1.11045,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,33793.9,1.76107,1.13152,1.16509,0.456,0.43225,0.38594,0.1748,1.64095,1.53104,1.11037,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,34681,1.75489,1.12665,1.1638,0.45916,0.43005,0.38612,0.17497,1.64146,1.52982,1.11013,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,35574.8,1.75195,1.12175,1.16212,0.45944,0.43027,0.38613,0.17504,1.64194,1.52627,1.11007,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,36481.6,1.75225,1.12059,1.16163,0.45811,0.4307,0.38615,0.17496,1.64259,1.52424,1.11026,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,37366.3,1.6908,1.11967,1.14592,0.45769,0.43235,0.38735,0.17546,1.64328,1.521,1.11074,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,38254.9,1.68239,1.10632,1.1446,0.45871,0.43208,0.3881,0.17582,1.64377,1.51915,1.11138,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,39159.8,1.68113,1.10494,1.14318,0.45898,0.43345,0.38862,0.1762,1.6438,1.515,1.11163,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,40057.9,1.67506,1.09061,1.13928,0.45921,0.43345,0.38914,0.17648,1.64355,1.51104,1.11222,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,40955.5,1.67059,1.08561,1.13612,0.45929,0.43345,0.3895,0.17692,1.6444,1.50595,1.11264,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,41847.3,1.66871,1.08565,1.13715,0.4607,0.43267,0.39053,0.17718,1.64542,1.50227,1.11432,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,42734.6,1.66189,1.08044,1.13109,0.4589,0.43462,0.39108,0.17738,1.64615,1.49743,1.11501,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,43611.8,1.65767,1.07127,1.13173,0.4615,0.43449,0.3915,0.17761,1.64665,1.49332,1.11553,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,44487.2,1.65423,1.06617,1.12912,0.46118,0.4354,0.39202,0.17787,1.64793,1.48973,1.11625,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,45365,1.6502,1.05677,1.12655,0.46117,0.43525,0.39185,0.17783,1.64861,1.48785,1.1164,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
